date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2016/6/29,T1609.CFE,0.0299,TF1609.CFE,0.027766667,21.33,17.52
2016/6/30,T1609.CFE,0.0294,TF1609.CFE,0.0274,20,17.9
2016/7/1,T1609.CFE,0.029,TF1609.CFE,0.027,20,15.86
2016/7/4,T1609.CFE,0.029466667,TF1609.CFE,0.0274,20.67,16.47
2016/7/5,T1609.CFE,0.0296,TF1609.CFE,0.0275,21,16.48
2016/7/6,T1609.CFE,0.0292,TF1609.CFE,0.0272,20,16.14
2016/7/7,T1609.CFE,0.028966667,TF1609.CFE,0.026866667,21,16.37
2016/7/8,T1609.CFE,0.0288,TF1609.CFE,0.026766667,20.33,16.55
2016/7/11,T1609.CFE,0.0292,TF1609.CFE,0.027166667,20.33,17.41
2016/7/12,T1609.CFE,0.0294,TF1609.CFE,0.0273,21,18.34
2016/7/13,T1609.CFE,0.0296,TF1609.CFE,0.027533333,20.67,13.95
2016/7/14,T1609.CFE,0.029466667,TF1609.CFE,0.0274,20.67,15.99
2016/7/15,T1609.CFE,0.0291,TF1609.CFE,0.027033333,20.67,16.61
2016/7/18,T1609.CFE,0.0292,TF1609.CFE,0.0272,20,15.19
2016/7/19,T1609.CFE,0.029,TF1609.CFE,0.027,20,16.29
2016/7/20,T1609.CFE,0.028566667,TF1609.CFE,0.026533333,20.33,15.25
2016/7/21,T1609.CFE,0.0284,TF1609.CFE,0.026366667,20.33,14.24
2016/7/22,T1609.CFE,0.028366667,TF1609.CFE,0.026366667,20,17.99
2016/7/25,T1609.CFE,0.0287,TF1609.CFE,0.0266,21,18.55
2016/7/26,T1609.CFE,0.028366667,TF1609.CFE,0.026266667,21,20.74
2016/7/27,T1609.CFE,0.0285,TF1609.CFE,0.026366667,21.33,20.44
2016/7/28,T1609.CFE,0.0281,TF1609.CFE,0.026066667,20.33,21
2016/7/29,T1609.CFE,0.0282,TF1609.CFE,0.026166667,20.33,18.66
2016/8/1,T1609.CFE,0.0284,TF1609.CFE,0.026266667,21.33,19.42
2016/8/2,T1609.CFE,0.028166667,TF1609.CFE,0.026066667,21,20.07
2016/8/3,T1609.CFE,0.0281,TF1609.CFE,0.025966667,21.33,18.54
2016/8/4,T1609.CFE,0.028,TF1609.CFE,0.025866667,21.33,19.79
2016/8/5,T1609.CFE,0.027566667,TF1609.CFE,0.025566667,20,18.82
2016/8/8,T1609.CFE,0.0276,TF1609.CFE,0.025566667,20.33,18.5
2016/8/9,T1609.CFE,0.027333333,TF1609.CFE,0.025366667,19.67,19.88
2016/8/10,T1609.CFE,0.027166667,TF1609.CFE,0.025266667,19,18.52
2016/8/11,T1612.CFE,0.0278,TF1612.CFE,0.025866667,19.33,20.13
2016/8/12,T1612.CFE,0.0274,TF1612.CFE,0.0255,19,19.43
2016/8/15,T1612.CFE,0.027233333,TF1612.CFE,0.025333333,19,18.09
2016/8/16,T1612.CFE,0.027466667,TF1612.CFE,0.025466667,20,17.29
2016/8/17,T1612.CFE,0.027633333,TF1612.CFE,0.0255,21.33,19.14
2016/8/18,T1612.CFE,0.0276,TF1612.CFE,0.025566667,20.33,15.88
2016/8/19,T1612.CFE,0.028066667,TF1612.CFE,0.026066667,20,18.34
2016/8/22,T1612.CFE,0.027766667,TF1612.CFE,0.025866667,19,19.09
2016/8/23,T1612.CFE,0.0284,TF1612.CFE,0.026366667,20.33,18.29
2016/8/24,T1612.CFE,0.0285,TF1612.CFE,0.026466667,20.33,18.04
