date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60
2019/8/2,T1909.CFE,0.031633333,98.72,98.72,TF1909.CFE,0.03,100.0,99.98,16.33,17.03,16.67,16.33,16.13,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/8/5,T1909.CFE,0.031233333,99.065,99.02,TF1909.CFE,0.0296,100.205,100.155,16.33,17.0,16.67,16.33,16.13,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/8/6,T1909.CFE,0.031166667000000002,99.065,99.07,TF1909.CFE,0.029566667,100.17,100.17,16.0,17.0,16.67,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,1,-2
2019/8/7,T1909.CFE,0.031133333,99.135,99.105,TF1909.CFE,0.0296,100.17,100.165,15.33,17.0,16.67,16.33,16.0,16.0,15.87,15.33,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/8/8,T1909.CFE,0.0311,99.125,99.12,TF1909.CFE,0.029566667,100.18,100.175,15.33,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/8/9,T1909.CFE,0.0309,99.27,99.29,TF1909.CFE,0.029366667000000003,100.23,100.25,15.33,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/8/12,T1909.CFE,0.031033333,99.215,99.195,TF1909.CFE,0.0294,100.265,100.235,16.33,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/8/13,T1909.CFE,0.030833332999999997,99.345,99.335,TF1909.CFE,0.029233332999999997,100.3,100.305,16.0,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,0,0,0,0,1,-2
2019/8/14,T1912.CFE,0.031233333,99.02,99.025,TF1912.CFE,0.0297,100.12,100.12,15.33,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/8/15,T1912.CFE,0.031266667000000005,98.925,98.985,TF1912.CFE,0.029733332999999997,100.06,100.105,15.33,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.33,14.67,0,0,-1,2,-1,2,-1,2
2019/8/16,T1912.CFE,0.031466667000000004,98.85,98.835,TF1912.CFE,0.03,100.01,99.98,14.67,17.0,16.67,16.33,16.0,16.0,15.67,15.33,15.26,14.67,-1,2,-1,2,-1,2,-1,2
