future_name,date_id,close,settle,sec_name
TS00.CFE,2020-09-03,100.24,100.24,TS2009.CFE
TS00.CFE,2020-09-04,100.15,100.145,TS2009.CFE
TS00.CFE,2020-09-07,100.185,100.185,TS2009.CFE
TS00.CFE,2020-09-08,100.185,100.26,TS2009.CFE
TS00.CFE,2020-09-09,100.185,100.37,TS2009.CFE
TS00.CFE,2020-09-10,100.355,100.35,TS2009.CFE
TS00.CFE,2020-09-11,100.355,100.275,TS2009.CFE
TS00.CFE,2020-09-14,100.26,100.235,TS2012.CFE
TS00.CFE,2020-09-15,100.36,100.38,TS2012.CFE
TS00.CFE,2020-09-16,100.385,100.405,TS2012.CFE
TS00.CFE,2020-09-17,100.34,100.335,TS2012.CFE
TS00.CFE,2020-09-18,100.385,100.37,TS2012.CFE
TS00.CFE,2020-09-21,100.475,100.47,TS2012.CFE
TS00.CFE,2020-09-22,100.475,100.455,TS2012.CFE
TS00.CFE,2020-09-23,100.465,100.455,TS2012.CFE
TS00.CFE,2020-09-24,100.375,100.38,TS2012.CFE
TS00.CFE,2020-09-25,100.335,100.345,TS2012.CFE
TS00.CFE,2020-09-28,100.36,100.35,TS2012.CFE
TS00.CFE,2020-09-29,100.325,100.305,TS2012.CFE
TS00.CFE,2020-09-30,100.22,100.22,TS2012.CFE
TS00.CFE,2020-10-09,100.09,100.1,TS2012.CFE
TS00.CFE,2020-10-12,100.145,100.15,TS2012.CFE
TS00.CFE,2020-10-13,100.165,100.155,TS2012.CFE
TS00.CFE,2020-10-14,100.1,100.11,TS2012.CFE
TS00.CFE,2020-10-15,100.06,100.07,TS2012.CFE
TS00.CFE,2020-10-16,100.125,100.11,TS2012.CFE
TS00.CFE,2020-10-19,100.185,100.18,TS2012.CFE
TS00.CFE,2020-10-20,100.195,100.185,TS2012.CFE
TS00.CFE,2020-10-21,100.24,100.225,TS2012.CFE
TS00.CFE,2020-10-22,100.325,100.32,TS2012.CFE
TS00.CFE,2020-10-23,100.285,100.275,TS2012.CFE
TS00.CFE,2020-10-26,100.235,100.25,TS2012.CFE
TS00.CFE,2020-10-27,100.275,100.265,TS2012.CFE
TS00.CFE,2020-10-28,100.29,100.265,TS2012.CFE
TS00.CFE,2020-10-29,100.245,100.245,TS2012.CFE
TS00.CFE,2020-10-30,100.255,100.27,TS2012.CFE
TS00.CFE,2020-11-02,100.305,100.285,TS2012.CFE
TS00.CFE,2020-11-03,100.29,100.29,TS2012.CFE
TS00.CFE,2020-11-04,100.29,100.285,TS2012.CFE
TS00.CFE,2020-11-05,100.215,100.23,TS2012.CFE
TS00.CFE,2020-11-06,100.155,100.155,TS2012.CFE
TS00.CFE,2020-11-09,100.12,100.13,TS2012.CFE
TS00.CFE,2020-11-10,100.16,100.165,TS2012.CFE
TS00.CFE,2020-11-11,100.145,100.13,TS2012.CFE
TS00.CFE,2020-11-12,100.075,100.085,TS2012.CFE
TS00.CFE,2020-11-13,100.0,99.99,TS2012.CFE
TS00.CFE,2020-11-16,100.02,100.04,TS2012.CFE
TF00.CFE,2013-01-04,nan,nan,
TF00.CFE,2013-01-07,nan,nan,
TF00.CFE,2013-01-08,nan,nan,
TF00.CFE,2013-01-09,nan,nan,
TF00.CFE,2013-01-10,nan,nan,
TF00.CFE,2013-01-11,nan,nan,
TF00.CFE,2013-01-14,nan,nan,
TF00.CFE,2013-01-15,nan,nan,
TF00.CFE,2013-01-16,nan,nan,
TF00.CFE,2013-01-17,nan,nan,
TF00.CFE,2013-01-18,nan,nan,
TF00.CFE,2013-01-21,nan,nan,
TF00.CFE,2013-01-22,nan,nan,
TF00.CFE,2013-01-23,nan,nan,
TF00.CFE,2013-01-24,nan,nan,
TF00.CFE,2013-01-25,nan,nan,
TF00.CFE,2013-01-28,nan,nan,
TF00.CFE,2013-01-29,nan,nan,
TF00.CFE,2013-01-30,nan,nan,
TF00.CFE,2013-01-31,nan,nan,
TF00.CFE,2013-02-01,nan,nan,
TF00.CFE,2013-02-04,nan,nan,
TF00.CFE,2013-02-05,nan,nan,
TF00.CFE,2013-02-06,nan,nan,
TF00.CFE,2013-02-07,nan,nan,
TF00.CFE,2013-02-08,nan,nan,
TF00.CFE,2013-02-18,nan,nan,
TF00.CFE,2013-02-19,nan,nan,
TF00.CFE,2013-02-20,nan,nan,
TF00.CFE,2013-02-21,nan,nan,
TF00.CFE,2013-02-22,nan,nan,
TF00.CFE,2013-02-25,nan,nan,
TF00.CFE,2013-02-26,nan,nan,
TF00.CFE,2013-02-27,nan,nan,
TF00.CFE,2013-02-28,nan,nan,
TF00.CFE,2013-03-01,nan,nan,
TF00.CFE,2013-03-04,nan,nan,
TF00.CFE,2013-03-05,nan,nan,
TF00.CFE,2013-03-06,nan,nan,
TF00.CFE,2013-03-07,nan,nan,
TF00.CFE,2013-03-08,nan,nan,
TF00.CFE,2013-03-11,nan,nan,
TF00.CFE,2013-03-12,nan,nan,
TF00.CFE,2013-03-13,nan,nan,
TF00.CFE,2013-03-14,nan,nan,
TF00.CFE,2013-03-15,nan,nan,
TF00.CFE,2013-03-18,nan,nan,
TF00.CFE,2013-03-19,nan,nan,
TF00.CFE,2013-03-20,nan,nan,
TF00.CFE,2013-03-21,nan,nan,
TF00.CFE,2013-03-22,nan,nan,
TF00.CFE,2013-03-25,nan,nan,
TF00.CFE,2013-03-26,nan,nan,
TF00.CFE,2013-03-27,nan,nan,
TF00.CFE,2013-03-28,nan,nan,
TF00.CFE,2013-03-29,nan,nan,
TF00.CFE,2013-04-01,nan,nan,
TF00.CFE,2013-04-02,nan,nan,
TF00.CFE,2013-04-03,nan,nan,
TF00.CFE,2013-04-08,nan,nan,
TF00.CFE,2013-04-09,nan,nan,
TF00.CFE,2013-04-10,nan,nan,
TF00.CFE,2013-04-11,nan,nan,
